catchment_id,pixel_count,area_km2,mean_slope,mean_flow_accum,max_flow_accum,drainage_density,region
A150,207701,186.931,0.0,5235.68,207701.0,0.88,Assam
A151,54033,48.63,0.0,2822.62,54033.0,0.003,Assam
A152,114081,102.673,0.0,1969.22,114081.0,0.521,Assam
A153,284226,255.803,0.0,4036.82,284226.0,0.532,Assam
A154,131519,118.367,0.0,3010.84,131519.0,0.361,Assam
A155,101988,91.789,10.82,486.11,101988.0,0.158,Assam
A156,81079,72.971,0.0,2146.79,81079.0,0.618,Assam
A157,138268,124.441,0.0,3455.32,138268.0,0.756,Assam
A158,86289,77.66,11.23,355.94,86289.0,0.077,Assam
A159,75705,68.134,0.01,3729.48,75705.0,1.491,Assam
A160,65760,59.184,13.46,305.32,65760.0,0.068,Assam
A161,82439,74.195,11.62,521.28,82439.0,0.154,Assam
A162,155836,140.252,0.0,5657.11,155836.0,1.2,Assam
A163,210083,189.075,7.02,1189.74,210083.0,0.286,Assam
A164,82469,74.222,0.01,2112.41,82469.0,0.522,Assam
A165,145615,131.054,0.01,5992.11,145615.0,1.691,Assam
A166,92950,83.655,0.0,1833.96,92950.0,0.217,Assam
A167,401444,361.3,9.84,1331.03,401444.0,0.15,Assam
A168,57855,52.07,11.74,309.37,57855.0,0.048,Assam
A169,55866,50.279,0.01,2050.95,55866.0,0.199,Assam
A170,53491,48.142,0.09,2436.77,53491.0,0.689,Assam
A171,66475,59.828,0.0,2753.94,66475.0,0.317,Assam
A172,79215,71.294,11.18,471.56,79215.0,0.109,Assam
A173,96011,86.41,10.43,313.54,96011.0,0.071,Assam
A174,93993,84.594,0.0,2318.24,93993.0,0.068,Assam
A175,64542,58.088,0.01,2246.89,64542.0,0.515,Assam
A176,170959,153.863,13.27,542.26,170959.0,0.109,Assam
A177,69908,62.917,0.01,1861.92,69908.0,0.221,Assam
A178,191419,172.277,0.0,4537.94,191419.0,0.665,Assam
A179,56042,50.438,12.73,230.77,56042.0,0.029,Assam
A180,78769,70.892,9.47,447.55,78769.0,0.137,Assam
A181,94769,85.292,0.0,3296.98,94769.0,0.305,Assam
A182,89745,80.77,0.0,2511.75,89745.0,0.676,Assam
A183,71048,63.943,0.0,2911.47,71048.0,0.793,Assam
A184,89870,80.883,11.54,510.26,89870.0,0.158,Assam
A185,70511,63.46,0.0,1828.16,70511.0,0.013,Assam
A186,232876,209.588,0.0,4645.85,232876.0,0.767,Assam
A187,51473,46.326,0.0,4717.29,51473.0,0.478,Assam
A188,174503,157.053,0.0,5108.83,174503.0,1.198,Assam
A189,100198,90.178,14.34,477.96,100198.0,0.116,Assam
A190,56498,50.848,0.0,1747.82,56498.0,0.154,Assam
A191,97671,87.904,0.0,1783.62,97671.0,0.091,Assam
A192,227487,204.738,0.0,5530.38,227487.0,0.941,Assam
A193,197923,178.131,4.04,833.12,197923.0,0.194,Assam
A194,114335,102.902,2.93,387.35,114335.0,0.075,Assam
A195,74028,66.625,6.15,439.85,74028.0,0.113,Assam
A196,161261,145.135,6.04,683.69,161261.0,0.144,Assam
A197,52259,47.033,0.0,1863.19,52259.0,0.047,Assam
A198,78906,71.015,12.1,575.6,78906.0,0.155,Assam
A199,69025,62.122,0.01,1940.8,69025.0,0.246,Assam
A200,55905,50.314,13.8,437.52,55905.0,0.119,Assam
A201,150231,135.208,5.16,566.04,150231.0,0.114,Assam
A202,78947,71.052,1.59,446.89,78947.0,0.108,Assam
A203,51427,46.284,0.01,2314.17,51427.0,0.336,Assam
A204,241966,217.769,4.91,908.87,241966.0,0.139,Assam
A205,50897,45.807,0.0,1765.38,50897.0,0.109,Assam
A206,51632,46.469,0.0,2078.25,51632.0,0.328,Assam
A207,131105,117.994,2.87,607.27,131105.0,0.144,Assam
A208,80900,72.81,9.03,474.36,80900.0,0.13,Assam
A209,52327,47.094,3.97,278.23,52327.0,0.027,Assam
A210,91273,82.146,6.78,368.36,91273.0,0.073,Assam
A211,50202,45.182,4.32,294.11,50202.0,0.003,Assam
A212,54330,48.897,7.34,260.6,54330.0,0.043,Assam
A213,61488,55.339,13.71,564.5,61488.0,0.159,Assam
A214,93344,84.01,2.27,572.97,93344.0,0.169,Assam
A215,92526,83.273,6.76,587.89,92526.0,0.153,Assam
A216,52980,47.682,0.0,2025.55,52980.0,0.268,Assam
A217,53077,47.769,0.0,2459.33,53077.0,0.352,Assam
A218,65194,58.675,5.24,565.53,65194.0,0.211,Assam
A219,81413,73.272,0.0,2078.18,81413.0,0.125,Assam
A220,106686,96.017,0.0,2304.56,106686.0,0.314,Assam
A221,51843,46.659,5.35,277.88,51843.0,0.017,Assam
A222,50134,45.121,0.01,1792.12,50134.0,0.004,Assam
A223,77464,69.718,0.0,2673.85,77464.0,0.002,Assam
A224,101136,91.022,0.0,2595.05,101136.0,0.099,Assam
A225,77269,69.542,6.52,328.03,77269.0,0.043,Assam
A226,57710,51.939,8.16,335.11,57710.0,0.009,Assam
A227,92748,83.473,1.35,473.71,92748.0,0.11,Assam
A228,63171,56.854,1.51,463.77,63171.0,0.072,Assam
A229,88077,79.269,4.51,410.23,88077.0,0.047,Assam
A230,58760,52.884,0.0,2076.62,58760.0,0.004,Assam
A231,63217,56.895,0.01,2382.18,63217.0,0.378,Assam
A232,143203,128.883,0.0,5453.2,143203.0,0.878,Assam
A233,65024,58.522,0.03,1911.95,65024.0,0.112,Assam
A234,60212,54.191,0.0,405.14,60212.0,0.052,Assam
A235,84582,76.124,0.7,492.71,84582.0,0.099,Assam
A236,135674,122.107,0.0,4182.56,135674.0,0.46,Assam
A237,80982,72.884,0.01,1718.72,80982.0,0.024,Assam
A238,82276,74.048,0.58,672.87,82276.0,0.218,Assam
A239,52144,46.93,0.0,1903.39,52144.0,0.099,Assam
A240,54904,49.414,0.0,1770.9,54904.0,0.002,Assam
A241,62130,55.917,0.0,1750.39,62130.0,0.01,Assam
A242,52415,47.174,1.26,582.13,52415.0,0.08,Assam
A243,75468,67.921,0.01,1722.45,75468.0,0.034,Assam
A244,68002,61.202,0.0,2234.01,68002.0,0.006,Assam
A245,341185,307.066,0.0,6843.31,341185.0,0.698,Assam
A246,78425,70.582,0.01,3470.74,78425.0,0.042,Assam
A247,326108,293.497,0.0,5502.27,326108.0,0.71,Assam
A248,52771,47.494,0.0,1818.97,52771.0,0.001,Assam
A249,54688,49.219,0.0,1752.55,54688.0,0.001,Assam
A250,71450,64.305,0.0,1912.84,71450.0,0.124,Assam
A251,59491,53.542,0.0,3599.07,59491.0,0.043,Assam
A252,66409,59.768,0.01,4008.73,66409.0,0.142,Assam
A253,95127,85.614,0.44,616.16,95127.0,0.184,Assam
A254,102645,92.38,0.01,3221.66,102645.0,0.032,Assam
A255,53606,48.245,0.0,1960.97,53606.0,0.001,Assam
A256,50768,45.691,1.23,324.94,50768.0,0.017,Assam
A257,81297,73.167,0.0,3467.22,81297.0,0.038,Assam
A258,203612,183.251,0.0,5277.82,203612.0,0.794,Assam
A259,171802,154.622,0.01,6427.84,171802.0,1.168,Assam
A260,81414,73.273,0.0,1722.25,81414.0,0.052,Assam
A261,89211,80.29,0.0,1771.16,89211.0,0.028,Assam
A262,90083,81.075,0.0,1740.62,90083.0,0.008,Assam
A263,60008,54.007,0.01,3596.88,60008.0,0.045,Assam
A264,84709,76.238,0.0,4884.7,84709.0,1.411,Assam
A265,96271,86.644,0.01,1847.5,96271.0,0.005,Assam
A266,56977,51.279,0.0,1762.21,56977.0,0.002,Assam
A267,52177,46.959,0.0,1876.31,52177.0,0.014,Assam
A268,57759,51.983,0.59,347.05,57759.0,0.023,Assam
A269,69754,62.779,0.02,2027.2,69754.0,0.111,Assam
A270,195545,175.99,0.0,6471.62,195545.0,1.106,Assam
A271,59859,53.873,0.0,1770.24,59859.0,0.001,Assam
A272,50889,45.8,0.01,2105.9,50889.0,0.108,Assam
A273,71664,64.498,0.0,1770.22,71664.0,0.003,Assam
A274,96945,87.25,0.0,1805.45,96945.0,0.005,Assam
A275,59056,53.15,0.18,1012.61,59056.0,0.056,Assam
A276,97667,87.9,0.23,1817.1,97667.0,0.002,Assam
A277,74629,67.166,0.73,523.25,74629.0,0.199,Assam
A278,106453,95.808,0.0,1784.05,106453.0,0.002,Assam
A279,83134,74.821,0.0,4693.83,83134.0,1.418,Assam
A280,60529,54.476,0.0,1782.25,60529.0,0.002,Assam
A281,179504,161.554,0.0,3510.79,179504.0,0.642,Assam
A282,75328,67.795,0.0,1956.72,75328.0,0.001,Assam
A283,65548,58.993,0.0,2133.96,65548.0,0.001,Assam
A284,102095,91.886,0.0,1711.41,102095.0,0.002,Assam
A285,99771,89.794,0.0,4545.48,99771.0,1.153,Assam
A286,88843,79.959,0.0,4176.9,88843.0,1.18,Assam
A287,105056,94.55,0.01,3851.99,105056.0,1.082,Assam
A288,50196,45.176,0.0,1799.76,50196.0,0.001,Assam
A289,66177,59.559,0.0,1751.93,66177.0,0.001,Assam
A290,51191,46.072,0.0,2181.05,51191.0,0.001,Assam
A291,62927,56.634,0.0,2028.54,62927.0,0.008,Assam
A292,206595,185.936,0.0,4079.28,206595.0,0.561,Assam
A293,55616,50.054,0.0,1820.98,55616.0,0.001,Assam
A294,61936,55.742,0.01,5495.35,61936.0,1.87,Assam
A295,81181,73.063,0.0,1899.2,81181.0,0.002,Assam
A296,60785,54.706,0.01,4497.43,60785.0,1.852,Assam
A297,75118,67.606,0.0,4119.07,75118.0,1.519,Assam
A298,58805,52.924,0.0,1778.1,58805.0,0.011,Assam
A299,69752,62.777,0.0,1782.5,69752.0,0.021,Assam
A300,111060,99.954,0.0,3661.44,111060.0,1.028,Assam
